iter	Passed	Remaining
726	7114	4629
727	7125	4619
728	7134	4609
729	7144	4599
730	7153	4589
731	7163	4579
732	7175	4571
733	7184	4561
734	7195	4552
735	7206	4543
736	7215	4532
737	7224	4522
738	7233	4512
739	7243	4503
740	7254	4493
741	7265	4484
742	7276	4475
743	7286	4465
744	7296	4456
745	7306	4446
746	7316	4436
747	7326	4427
748	7336	4417
749	7345	4407
750	7356	4398
751	7365	4388
752	7376	4378
753	7387	4369
754	7398	4360
755	7408	4350
756	7417	4340
757	7427	4331
758	7438	4321
759	7449	4313
760	7459	4303
761	7469	4293
762	7479	4283
763	7490	4274
764	7501	4265
765	7510	4255
766	7519	4245
767	7530	4235
768	7540	4226
769	7549	4216
770	7559	4206
771	7569	4196
772	7579	4186
773	7589	4177
774	7598	4167
775	7608	4157
776	7618	4147
777	7628	4137
778	7639	4128
779	7649	4119
780	7659	4109
781	7671	4100
782	7680	4090
783	7690	4080
784	7699	4070
785	7709	4060
786	7718	4050
787	7729	4041
788	7740	4032
789	7750	4022
790	7760	4012
791	7769	4002
792	7779	3992
793	7788	3982
794	7799	3973
795	7810	3963
796	7819	3953
797	7830	3944
798	7839	3934
799	7850	3925
800	7859	3915
801	7869	3905
802	7880	3895
803	7889	3885
804	7898	3875
805	7909	3866
806	7920	3857
807	7930	3847
808	7940	3837
809	7951	3828
810	7962	3819
811	7973	3809
812	7982	3800
813	7993	3790
814	8005	3781
815	8014	3771
816	8024	3761
817	8034	3752
818	8046	3743
819	8057	3733
820	8067	3724
821	8078	3714
822	8088	3705
823	8097	3695
824	8107	3685
825	8116	3675
826	8125	3664
827	8135	3655
828	8146	3645
829	8157	3636
830	8166	3626
831	8176	3616
832	8184	3606
833	8194	3596
834	8204	3586
835	8214	3576
836	8224	3566
837	8235	3557
838	8246	3548
839	8256	3538
840	8266	3528
841	8275	3518
842	8285	3508
843	8294	3498
844	8305	3489
845	8314	3479
846	8325	3469
847	8335	3460
848	8345	3450
849	8357	3441
850	8367	3431
851	8377	3421
852	8389	3412
853	8399	3403
854	8408	3392
855	8418	3383
856	8427	3372
857	8438	3363
858	8448	3353
859	8457	3343
860	8466	3333
861	8476	3323
862	8487	3314
863	8495	3303
864	8506	3294
865	8516	3284
866	8526	3274
867	8536	3265
868	8546	3255
869	8556	3245
870	8567	3236
871	8577	3226
872	8588	3216
873	8598	3207
874	8608	3197
875	8617	3187
876	8627	3177
877	8638	3168
878	8647	3157
879	8657	3148
880	8666	3137
881	8675	3127
882	8686	3118
883	8704	3111
884	8715	3102
885	8725	3092
886	8735	3082
887	8745	3072
888	8755	3062
889	8765	3053
890	8775	3043
891	8786	3034
892	8799	3024
893	8810	3015
894	8820	3005
895	8830	2996
896	8840	2986
897	8851	2976
898	8861	2967
899	8872	2957
900	8883	2947
901	8893	2938
902	8904	2928
903	8915	2919
904	8925	2909
905	8936	2899
906	8947	2890
907	8958	2880
908	8969	2871
909	8980	2861
910	8990	2852
911	9001	2842
912	9012	2832
913	9020	2822
914	9030	2812
915	9040	2803
916	9051	2793
917	9061	2783
918	9071	2773
919	9082	2764
920	9092	2754
921	9103	2744
922	9113	2735
923	9124	2725
924	9135	2715
925	9145	2706
926	9157	2696
927	9167	2686
928	9178	2677
929	9187	2667
930	9198	2657
931	9208	2648
932	9220	2638
933	9230	2628
934	9239	2618
935	9249	2608
936	9260	2599
937	9271	2589
938	9281	2579
939	9292	2570
940	9303	2560
941	9313	2550
942	9324	2541
943	9335	2531
944	9347	2522
945	9358	2512
946	9369	2503
947	9380	2493
948	9390	2483
949	9401	2474
950	9412	2464
951	9422	2454
952	9433	2444
953	9443	2435
954	9453	2425
955	9464	2415
956	9474	2405
957	9486	2396
958	9497	2386
959	9507	2376
960	9517	2367
961	9527	2357
962	9539	2347
963	9549	2337
964	9560	2328
965	9571	2318
966	9582	2308
967	9592	2299
968	9602	2289
969	9613	2279
970	9621	2269
971	9632	2259
972	9643	2249
973	9653	2239
974	9663	2230
975	9673	2220
976	9684	2210
977	9695	2200
978	9705	2190
979	9716	2181
980	9726	2171
981	9737	2161
982	9748	2151
983	9757	2141
984	9767	2132
985	9778	2122
986	9789	2112
987	9801	2103
988	9812	2093
989	9821	2083
990	9831	2073
991	9841	2063
992	9852	2053
993	9862	2044
994	9874	2034
995	9886	2024
996	9897	2015
997	9908	2005
998	9917	1995
999	9928	1985
1000	9939	1975
1001	9949	1966
1002	9958	1955
1003	9970	1946
1004	9981	1936
1005	9992	1927
1006	10003	1917
1007	10014	1907
1008	10024	1897
1009	10034	1887
1010	10045	1877
1011	10056	1868
1012	10066	1858
1013	10078	1848
1014	10090	1839
1015	10100	1829
1016	10111	1819
1017	10122	1809
1018	10132	1799
1019	10142	1789
1020	10152	1779
1021	10163	1770
1022	10174	1760
1023	10183	1750
1024	10193	1740
1025	10204	1730
1026	10213	1720
1027	10221	1710
1028	10232	1700
1029	10244	1690
